Scam_Type,Scam_Description,Medium_Used,Target_Actions,Common_Phrases,Threat_Emotional,Threat_Financial,Threat_Financial/Emotional,Threat_Financial/Personal,Threat_Legal,Threat_Personal,threat_type_encoded,Threat_Type_1,Threat_Type_2,Threat_Type_3,Threat_Type_4,Threat_Type_5
Lottery Scams,Asks for donations to fake causes or charities.,Dating Apps,Send money or gifts,device infected call us fix,1,0,0,0,0,0,0,0,0,0,0,0
Charity Scams,Asks for donations to fake causes or charities.,Pop-ups,Send money or gifts,charity drive donate,0,0,0,0,1,0,4,0,0,0,1,0
Tech Support Scams,Claims the victim's device is infected with malware and demands payment.,Dating Apps,Donate to fake charity,youve claim prize paying fee,0,0,0,1,0,0,3,0,0,1,0,0
Phishing Scams,Claims the victim has won a prize and asks for payment to claim it.,Pop-ups,Donate to fake charity,charity drive donate,0,0,1,0,0,0,2,0,1,0,0,0
Fake Law Enforcement Scams,Claims the victim has won a prize and asks for payment to claim it.,Phone,Make payment to avoid legal trouble,youve claim prize paying fee,0,1,0,0,0,0,1,1,0,0,0,0
Phishing Scams,Impersonates police or government to claim unpaid fines.,Pop-ups,Pay ransom,owe 500 pay immediately,0,0,0,0,1,0,4,0,0,0,1,0
Extortion Scams,Asks for donations to fake causes or charities.,Pop-ups,Pay ransom,help im trouble,0,0,0,1,0,0,3,0,0,1,0,0
Debt Collection Scams,Tricks victims into providing sensitive information.,Phone,Make payment to avoid legal trouble,account compromised act,0,0,1,0,0,0,2,0,1,0,0,0
Debt Collection Scams,Promotes fake investment opportunities to steal money.,Pop-ups,Donate to fake charity,charity drive donate,0,0,0,0,0,1,5,0,0,0,0,1
Impersonation Scams,Threatens to release personal data unless ransom is paid.,Social Media,Provide personal information,device infected call us fix,0,0,1,0,0,0,2,0,1,0,0,0
Investment Scams,Promotes fake investment opportunities to steal money.,Phone,Pay ransom,help im trouble,0,0,0,0,1,0,4,0,0,0,1,0
Fake Law Enforcement Scams,Promotes fake investment opportunities to steal money.,Email,Invest in fake opportunity,help im trouble,0,0,0,0,0,1,5,0,0,0,0,1
Lottery Scams,Promotes fake investment opportunities to steal money.,Social Media,Provide personal information,youve claim prize paying fee,0,1,0,0,0,0,1,1,0,0,0,0
Lottery Scams,Falsely claims unpaid debt and demands immediate payment.,Social Media,Claim prize by paying fee,youve claim prize paying fee,0,0,0,0,1,0,4,0,0,0,1,0
Debt Collection Scams,Promotes fake investment opportunities to steal money.,Pop-ups,Pay ransom,confirm account details avoid suspension,0,0,0,0,0,1,5,0,0,0,0,1
Impersonation Scams,Claims the victim has won a prize and asks for payment to claim it.,SMS,Make payment to avoid legal trouble,device infected call us fix,0,0,0,1,0,0,3,0,0,1,0,0
Extortion Scams,Exploits online relationships to demand money or gifts.,Dating Apps,Claim prize by paying fee,confirm account details avoid suspension,1,0,0,0,0,0,0,0,0,0,0,0
Lottery Scams,Falsely claims unpaid debt and demands immediate payment.,Phone,Pay fine to avoid arrest,device infected call us fix,0,0,0,1,0,0,3,0,0,1,0,0
Lottery Scams,Asks for donations to fake causes or charities.,SMS,Pay fine to avoid arrest,youve claim prize paying fee,0,1,0,0,0,0,1,1,0,0,0,0
Charity Scams,Falsely claims unpaid debt and demands immediate payment.,Phone,Send money or gifts,invest double money,0,1,0,0,0,0,1,1,0,0,0,0
