Scam Type,Scam Type.1,Threat Type,Medium Used,Target Actions,Common Phrases/Examples,Unnamed: 6
Lottery Scams,Asks for donations to fake causes or charities.,Emotional,Dating Apps,Send money or gifts,Your device is infected. Call us to fix it.,
Charity Scams,Asks for donations to fake causes or charities.,Legal,Pop-ups,Send money or gifts,This is a charity drive. Donate now.,
Tech Support Scams,Claims the victim's device is infected with malware and demands payment.,Financial/Personal,Dating Apps,Donate to fake charity,You’ve won! Claim your prize by paying a fee.,
Phishing Scams,Claims the victim has won a prize and asks for payment to claim it.,Financial/Emotional,Pop-ups,Donate to fake charity,This is a charity drive. Donate now.,
Fake Law Enforcement Scams,Claims the victim has won a prize and asks for payment to claim it.,Financial,Phone,Make payment to avoid legal trouble,You’ve won! Claim your prize by paying a fee.,
Phishing Scams,Impersonates police or government to claim unpaid fines.,Legal,Pop-ups,Pay ransom,You owe $500. Pay immediately.,
Extortion Scams,Asks for donations to fake causes or charities.,Financial/Personal,Pop-ups,Pay ransom,"Help me, I'm in trouble.",
Debt Collection Scams,Tricks victims into providing sensitive information.,Financial/Emotional,Phone,Make payment to avoid legal trouble,Your account is compromised. Act now!,
Debt Collection Scams,Promotes fake investment opportunities to steal money.,Personal,Pop-ups,Donate to fake charity,This is a charity drive. Donate now.,
Impersonation Scams,Threatens to release personal data unless ransom is paid.,Financial/Emotional,Social Media,Provide personal information,Your device is infected. Call us to fix it.,
Investment Scams,Promotes fake investment opportunities to steal money.,Legal,Phone,Pay ransom,"Help me, I'm in trouble.",
Fake Law Enforcement Scams,Promotes fake investment opportunities to steal money.,Personal,Email,Invest in fake opportunity,"Help me, I'm in trouble.",
Lottery Scams,Promotes fake investment opportunities to steal money.,Financial,Social Media,Provide personal information,You’ve won! Claim your prize by paying a fee.,
Lottery Scams,Falsely claims unpaid debt and demands immediate payment.,Legal,Social Media,Claim prize by paying fee,You’ve won! Claim your prize by paying a fee.,
Debt Collection Scams,Promotes fake investment opportunities to steal money.,Personal,Pop-ups,Pay ransom,Confirm your account details to avoid suspension.,
Impersonation Scams,Claims the victim has won a prize and asks for payment to claim it.,Financial/Personal,SMS,Make payment to avoid legal trouble,Your device is infected. Call us to fix it.,
Extortion Scams,Exploits online relationships to demand money or gifts.,Emotional,Dating Apps,Claim prize by paying fee,Confirm your account details to avoid suspension.,
Lottery Scams,Falsely claims unpaid debt and demands immediate payment.,Financial/Personal,Phone,Pay fine to avoid arrest,Your device is infected. Call us to fix it.,
Lottery Scams,Asks for donations to fake causes or charities.,Financial,SMS,Pay fine to avoid arrest,You’ve won! Claim your prize by paying a fee.,
Charity Scams,Falsely claims unpaid debt and demands immediate payment.,Financial,Phone,Send money or gifts,Invest now and double your money.,
Fake Law Enforcement Scams,Threatens to release personal data unless ransom is paid.,Financial/Emotional,Dating Apps,Pay for fake services,Confirm your account details to avoid suspension.,
Debt Collection Scams,Tricks victims into providing sensitive information.,Emotional,Social Media,Make payment to avoid legal trouble,"Help me, I'm in trouble.",
Fake Law Enforcement Scams,Threatens to release personal data unless ransom is paid.,Financial,Email,Make payment to avoid legal trouble,Your device is infected. Call us to fix it.,
Debt Collection Scams,Exploits online relationships to demand money or gifts.,Financial/Emotional,Phone,Make payment to avoid legal trouble,This is a charity drive. Donate now.,
Impersonation Scams,Falsely claims unpaid debt and demands immediate payment.,Emotional,Social Media,Send money or gifts,Confirm your account details to avoid suspension.,
Romance Scams,Threatens to release personal data unless ransom is paid.,Financial/Emotional,Social Media,Pay fine to avoid arrest,You’ve won! Claim your prize by paying a fee.,
Lottery Scams,Promotes fake investment opportunities to steal money.,Legal,SMS,Pay ransom,This is a charity drive. Donate now.,
Investment Scams,Threatens to release personal data unless ransom is paid.,Financial,Pop-ups,Invest in fake opportunity,We are the IRS. Pay to avoid legal action.,
Extortion Scams,Pretends to be someone else to steal personal or financial information.,Legal,Phone,Pay ransom,You’ve won! Claim your prize by paying a fee.,
Impersonation Scams,Tricks victims into providing sensitive information.,Financial/Emotional,SMS,Make payment to avoid legal trouble,Your account is compromised. Act now!,
Investment Scams,Threatens to release personal data unless ransom is paid.,Emotional,Social Media,Provide personal information,Confirm your account details to avoid suspension.,
Lottery Scams,Threatens to release personal data unless ransom is paid.,Financial/Emotional,Social Media,Invest in fake opportunity,You’ve won! Claim your prize by paying a fee.,
Romance Scams,Impersonates police or government to claim unpaid fines.,Financial/Personal,SMS,Provide personal information,We are the IRS. Pay to avoid legal action.,
Investment Scams,Threatens to release personal data unless ransom is paid.,Financial/Emotional,Social Media,Pay for fake services,This is a charity drive. Donate now.,
Fake Law Enforcement Scams,Claims the victim has won a prize and asks for payment to claim it.,Financial/Emotional,Dating Apps,Invest in fake opportunity,Your device is infected. Call us to fix it.,
Investment Scams,Asks for donations to fake causes or charities.,Financial/Personal,Social Media,Pay fine to avoid arrest,Your device is infected. Call us to fix it.,
Fake Law Enforcement Scams,Exploits online relationships to demand money or gifts.,Personal,Social Media,Send money or gifts,We are the IRS. Pay to avoid legal action.,
Investment Scams,Threatens to release personal data unless ransom is paid.,Financial/Emotional,Pop-ups,Pay fine to avoid arrest,This is a charity drive. Donate now.,
Fake Law Enforcement Scams,Claims the victim has won a prize and asks for payment to claim it.,Legal,Phone,Donate to fake charity,You owe $500. Pay immediately.,
Lottery Scams,Exploits online relationships to demand money or gifts.,Emotional,Phone,Make payment to avoid legal trouble,Invest now and double your money.,
Romance Scams,Promotes fake investment opportunities to steal money.,Financial,Dating Apps,Invest in fake opportunity,You owe $500. Pay immediately.,
